# Electric Meter Monitor
# Date,2026-04-14 09:02:49
# SampleInterval,400
# Rows,123
# Signal,0,Voltage,V,FF1E90FF,1
# Signal,1,Current,A,FF00DC96,0
# Signal,2,P Active,W,FFFFB932,2
# Signal,3,Q React.,VAR,FFFF6432,2
# Signal,4,S Apprt.,VA,FFC882FF,2
# Signal,5,PF,PF,FFFF6E6E,2
# Signal,6,Frequency,Hz,FF8CC8FF,4
# Signal,7,Phase Dir,,FFFFDC00,4
# Signal,8,THDi 1,%,FF00DC78,3
# Signal,9,THDi 2,%,FF00BE5F,3
# Signal,10,THDi N,%,FF00FAAA,3
# Signal,11,THDu 1N,%,FF6EB9FF,3
# Signal,12,THDu 2N,%,FF8CD2FF,3
# Signal,13,Current L1,A,FF00C88C,0
# Signal,14,Current L2,A,FF00AA78,0
# Signal,15,Current N,A,FF006E50,0
# Signal,16,Voltage 1N,V,FF82C8FF,1
# Signal,17,Voltage 2N,V,FF96D7FF,1
# Signal,18,P Active L1,W,FFFFC850,2
# Signal,19,P Active L2,W,FFEBB43C,2
# Signal,20,Q React. L1,VAR,FFFF8250,2
# Signal,21,Q React. L2,VAR,FFEB6E3C,2
# Signal,22,S Apprt. L1,VA,FFDC96FF,2
# Signal,23,S Apprt. L2,VA,FFC882EB,2
# Signal,24,PF L1,PF,FFFF8282,2
# Signal,25,PF L2,PF,FFEB6E6E,2
# Signal,26,Angle U1-2,°,FFC8FFC8,4
# Signal,27,Angle U2-3,°,FFB4EBB4,4
# Signal,28,Angle U3-1,°,FFA0D7A0,4
Time (s),Voltage (V),Current (A),P Active (W),Q React. (VAR),S Apprt. (VA),PF (PF),Frequency (Hz),Phase Dir,THDi 1 (%),THDi 2 (%),THDi N (%),THDu 1N (%),THDu 2N (%),Current L1 (A),Current L2 (A),Current N (A),Voltage 1N (V),Voltage 2N (V),P Active L1 (W),P Active L2 (W),Q React. L1 (VAR),Q React. L2 (VAR),S Apprt. L1 (VA),S Apprt. L2 (VA),PF L1 (PF),PF L2 (PF),Angle U1-2 (°),Angle U2-3 (°),Angle U3-1 (°)
40.473142,235.03,22.137,3977,8635,15578,0.2552,49.97,-1,1.5,138.1,207.5,2.1,3.8,0,33.489,45.831,236.09,234.52,0,2043,0,4350,0,7844,1,0.2616,122,120,119
40.8894901,235.16,22.1,3955,8613,15578,0.2538,49.97,-1,1.5,138.1,207.5,2.3,3.5,0,32.446,46.124,235.51,235.87,0,1933,0,4108,0,7646,1,0.253,121,120,119
41.3078362,235.08,22.43,4064,8854,15798,0.2573,49.97,-1,0,126.7,209.2,2.3,3.5,0,33.544,46.801,235.72,235.71,0,2043,0,4372,0,7888,1,0.2595,121,121,118
41.6789924,235.12,21.917,3933,8525,15424,0.2549,49.97,-1,0,126.7,209.2,2.4,3.5,0,32.904,45.446,235.91,234.94,0,1999,0,4240,0,7712,1,0.2593,121,120,119
42.0967875,235.03,22.32,4042,8767,15710,0.2573,49.97,-1,0,128.3,209.2,2.4,2.5,0,32.702,46.582,235.6,235.67,0,1955,0,4196,0,7690,1,0.2557,121,120,119
42.4966572,235.18,21.972,3955,8613,15468,0.2556,49.97,-1,0,128.3,211.1,2.4,2.5,0,33.581,45.593,236,235.07,0,2065,0,4394,0,7888,1,0.2638,121,120,119
42.9017713,235.18,21.972,3955,8613,15468,0.2556,49.97,-1,0,128.3,211.1,2.5,2.2,0,33.581,45.593,236,235.07,0,2065,0,4394,0,7888,1,0.2638,121,120,119
43.3196594,235.36,21.936,3933,8569,15468,0.2542,49.97,-1,0,129.7,214.2,2.5,2.2,0,32.116,45.776,235.76,236,0,1911,0,4086,0,7558,1,0.253,121,120,119
43.7396985,235.34,22.137,4020,8723,15600,0.2577,49.97,-1,0,129.7,214.2,3.2,2,0,33.691,46.069,235.98,235.63,0,2087,0,4416,0,7932,1,0.2634,121,120,119
44.1254123,235.69,21.771,3911,8481,15358,0.2546,49.97,-1,0.5,134.7,205.1,3.2,2,0,31.933,45.3,236.27,235.87,0,1911,0,4064,0,7514,1,0.2542,121,120,119
